net,length_um
clknet_leaf_81_clk,65.12µm
cpu_core.id_ex_reg_inst.mem_write_out,64.96µm
clknet_leaf_117_clk,64.96µm
cpu_core.ex_mem_reg_inst.pc_plus4_out\[25\],64.76µm
cpu_core.if_id_reg_inst.pc_in\[29\],64.62µm
_04678_,64.58µm
_02516_,64.52µm
clknet_leaf_103_clk,64.22µm
_01861_,63.84µm
_04704_,63.8µm
_02002_,63.76µm
cpu_core.ex_stage_inst.rs2_data_ex\[12\],63.72µm
_03775_,63.48µm
_02534_,63.3µm
clknet_leaf_141_clk,63.3µm
_03996_,63.26µm
_02624_,63.22µm
net1036,63.16µm
net98,62.98µm
_01839_,62.94µm
_02917_,62.9µm
net425,62.61µm
_03958_,62.595µm
cpu_core.ex_mem_reg_inst.mem_to_reg_in,62.58µm
cpu_core.if_id_reg_inst.pc_in\[25\],62.58µm
cpu_core.ex_stage_inst.rs2_data_ex\[28\],62.56µm
cpu_core.id_ex_reg_inst.pc_plus4_in\[26\],62.5µm
_03670_,62.3µm
cpu_core.forward_inst.id_ex_rs2\[3\],62.255µm
_02741_,62.22µm
_03334_,62.04µm
_05111_,61.9µm
clknet_leaf_61_clk,61.9µm
net394,61.87µm
_03726_,61.86µm
clknet_leaf_114_clk,61.75µm
clknet_leaf_9_clk,61.7µm
cpu_core.ex_stage_inst.imm_ex\[10\],61.66µm
net18,61.57µm
cpu_core.id_ex_reg_inst.rd_addr_in\[3\],61.37µm
_02423_,61.32µm
_03479_,61.16µm
_04888_,61.04µm
_04719_,61.02µm
_03668_,60.98µm
_01872_,60.96µm
_02903_,60.96µm
_03610_,60.9µm
cpu_core.ex_stage_inst.rs1_data_ex\[28\],60.885µm
_02240_,60.865µm
_00002_,60.84µm
_02485_,60.8µm
net1094,60.68µm
_02856_,60.545µm
_04891_,60.48µm
_00000_,60.28µm
_03626_,60.16µm
_02158_,60.08µm
_00021_,60µm
_02695_,59.68µm
net87,59.68µm
_03488_,59.62µm
_03135_,59.46µm
net96,59.46µm
_03962_,59.2µm
_02518_,59.11µm
net377,58.97µm
_02058_,58.92µm
_01873_,58.86µm
clknet_leaf_97_clk,58.86µm
_04937_,58.78µm
_03339_,58.7µm
clknet_leaf_154_clk,58.65µm
_03543_,58.62µm
net155,58.62µm
_04953_,58.56µm
net51,58.5µm
_02973_,58.48µm
cpu_core.forward_inst.id_ex_rs2\[0\],58.245µm
_01974_,58.24µm
_01886_,58.1µm
clknet_leaf_23_clk,58.1µm
_03814_,58.04µm
_03063_,58.02µm
clknet_leaf_57_clk,57.98µm
clknet_leaf_149_clk,57.98µm
cpu_core.ex_stage_inst.rs1_data_ex\[22\],57.975µm
_03501_,57.96µm
clknet_leaf_54_clk,57.82µm
_03478_,57.78µm
_02501_,57.66µm
_02131_,57.65µm
_03398_,57.62µm
net93,57.6µm
_02505_,57.56µm
cpu_core.alu_result_mem\[7\],57.52µm
_02345_,57.22µm
_02606_,57.18µm
_02689_,57.16µm
_02293_,57.12µm
_04672_,57.06µm
_03322_,56.95µm
_02092_,56.9µm
net151,56.9µm
_03645_,56.76µm
net1077,56.54µm
_03532_,56.52µm
_04304_,56.44µm
_02260_,56.4µm
_03757_,56.25µm
_03390_,56.22µm
net94,56.22µm
_03711_,56.14µm
cpu_core.if_id_reg_inst.pc_in\[18\],56.1µm
clknet_leaf_127_clk,56.02µm
_02629_,55.74µm
clknet_leaf_51_clk,55.72µm
_04999_,55.64µm
cpu_core.forward_inst.id_ex_rs1\[1\],55.405µm
_03852_,55.4µm
_02577_,55.385µm
_02342_,55.35µm
_04375_,55.24µm
cpu_core.if_id_reg_inst.pc_in\[22\],55.23µm
_03596_,55.14µm
_01834_,55.08µm
net21,55.05µm
_02978_,54.94µm
_03592_,54.86µm
net416,54.81µm
_02977_,54.68µm
net140,54.68µm
_05153_,54.66µm
cpu_core.ex_stage_inst.rs2_data_ex\[30\],54.44µm
_02457_,54.36µm
_03354_,54.32µm
_02904_,54.28µm
_03617_,54.2µm
_01928_,54.18µm
_00022_,54.1µm
cpu_core.hazard_inst.if_id_rs1\[4\],54.08µm
_02528_,54.04µm
_03990_,53.98µm
_03484_,53.93µm
cpu_core.ex_stage_inst.rs2_data_ex\[27\],53.9µm
cpu_core.ex_stage_inst.rs1_data_ex\[30\],53.88µm
net160,53.8µm
_02416_,53.78µm
cpu_core.id_ex_reg_inst.rd_addr_in\[1\],53.72µm
clknet_leaf_144_clk,53.72µm
_02872_,53.5µm
cpu_core.ex_stage_inst.rs2_data_ex\[4\],53.48µm
_02570_,53.46µm
_02341_,53.43µm
net125,53.36µm
clknet_leaf_134_clk,53.34µm
cpu_core.if_id_reg_inst.pc_in\[12\],53.28µm
_02795_,53.27µm
cpu_core.ex_mem_reg_inst.rd_addr_in\[0\],53.16µm
_02642_,53.1µm
_02851_,52.98µm
_02452_,52.86µm
_02407_,52.76µm
_04052_,52.72µm
_04310_,52.64µm
cpu_core.forward_inst.id_ex_rs1\[2\],52.51µm
cpu_core.if_id_reg_inst.pc_in\[7\],52.48µm
cpu_core.ex_mem_reg_inst.reg_write_out,52.4µm
clknet_leaf_159_clk,52.4µm
clknet_leaf_124_clk,52.38µm
_03959_,52.315µm
_01982_,52.06µm
_02650_,52.04µm
_03523_,51.96µm
_05292_,51.9µm
cpu_core.ex_stage_inst.rs1_data_ex\[11\],51.88µm
_03874_,51.86µm
_02542_,51.85µm
_03731_,51.78µm
_05360_,51.66µm
net148,51.58µm
_02151_,51.4µm
_02387_,51.31µm
_02551_,51.22µm
clknet_leaf_158_clk,51.12µm
cpu_core.if_id_reg_inst.pc_in\[3\],50.98µm
_02322_,50.86µm
_04012_,50.8µm
_02968_,50.68µm
_02208_,50.62µm
cpu_core.mem_wb_reg_inst.read_data_out\[8\],50.605µm
_03651_,50.53µm
_02308_,50.51µm
clknet_leaf_119_clk,50.44µm
_02827_,50.34µm
_03625_,50.09µm
_02719_,49.99µm
_01913_,49.92µm
_02109_,49.86µm
cpu_core.ex_stage_inst.rs2_data_ex\[25\],49.86µm
_02049_,49.79µm
_03830_,49.78µm
_03627_,49.62µm
_03476_,49.52µm
_03454_,49.4µm
_04890_,49.36µm
_02252_,49.32µm
_03078_,49.31µm
byte_offset_r\[0\],49.28µm
_02396_,49.24µm
cpu_core.forward_inst.id_ex_rs2\[1\],49.1µm
cpu_core.if_id_reg_inst.pc_in\[13\],49.1µm
_03129_,49.095µm
_03961_,49.05µm
_00158_,48.94µm
_02382_,48.93µm
_03684_,48.92µm
_03152_,48.88µm
_03820_,48.8µm
_03325_,48.72µm
_03952_,48.66µm
cpu_core.if_id_reg_inst.pc_in\[11\],48.66µm
_02468_,48.6µm
_03877_,48.58µm
_03319_,48.56µm
_02388_,48.44µm
_03672_,48.44µm
_03443_,48.4µm
_02560_,48.36µm
_04019_,48.3µm
net156,48.14µm
_02533_,47.86µm
_04094_,47.76µm
_02179_,47.64µm
net406,47.62µm
_03066_,47.16µm
_04123_,47.12µm
_02740_,47.1µm
cpu_core.ex_stage_inst.rs2_data_ex\[0\],47.1µm
_04280_,47.02µm
_04110_,46.98µm
_03491_,46.88µm
_02616_,46.86µm
_01864_,46.64µm
_02312_,46.62µm
_03936_,46.58µm
cpu_core.mem_wb_reg_inst.read_data_out\[7\],46.515µm
cpu_core.if_id_reg_inst.pc_in\[16\],46.46µm
_02313_,46.44µm
_02711_,46.28µm
_02478_,46.22µm
_03542_,46.2µm
_02144_,46.14µm
_02133_,46.135µm
_03967_,46.08µm
clknet_leaf_34_clk,45.94µm
_03655_,45.92µm
_03893_,45.86µm
_04399_,45.86µm
cpu_core.alu_result_mem\[16\],45.84µm
_02182_,45.78µm
cpu_core.if_id_reg_inst.pc_in\[30\],45.76µm
_04332_,45.6µm
cpu_core.ex_stage_inst.rs1_data_ex\[16\],45.6µm
_02733_,45.48µm
_02596_,45.32µm
_02607_,45.3µm
_04353_,45.3µm
_02499_,45.24µm
net88,45.24µm
_02440_,45.14µm
net163,45.08µm
_03450_,45µm
_03879_,44.9µm
_03969_,44.7µm
_02431_,44.655µm
_02465_,44.64µm
_03900_,44.64µm
_05005_,44.64µm
_01843_,44.62µm
_03148_,44.59µm
_00065_,44.58µm
_03457_,44.48µm
cpu_core.if_id_reg_inst.pc_in\[20\],44.39µm
_02735_,44.38µm
_03545_,44.3µm
_00001_,44.08µm
_02804_,44µm
_03037_,44µm
_04085_,43.98µm
_02531_,43.78µm
_04523_,43.78µm
_02726_,43.76µm
_02756_,43.74µm
_03370_,43.54µm
_04138_,43.52µm
_00015_,43.44µm
_03823_,43.42µm
_02301_,43.36µm
cpu_core.alu_result_mem\[5\],43.28µm
_02296_,43.26µm
_02330_,43.14µm
_04326_,43.06µm
_03749_,43.02µm
_03840_,42.96µm
_03023_,42.92µm
net1102,42.9µm
_03995_,42.885µm
_03411_,42.88µm
_00020_,42.86µm
_03069_,42.82µm
_02206_,42.8µm
_03832_,42.78µm
_03445_,42.76µm
_02083_,42.64µm
_04366_,42.52µm
_02969_,42.46µm
_03107_,42.3µm
_04163_,42.28µm
_03327_,42.2µm
_03377_,42.18µm
clknet_leaf_26_clk,42.18µm
_04476_,42.14µm
_03513_,42.03µm
_00138_,42µm
_02523_,42µm
net135,41.84µm
cpu_core.ex_mem_reg_inst.rd_addr_in\[3\],41.78µm
cpu_core.if_id_reg_inst.pc_in\[8\],41.78µm
_00008_,41.72µm
_03337_,41.63µm
_02691_,41.56µm
_03826_,41.54µm
cpu_core.if_id_reg_inst.pc_in\[4\],41.355µm
_03024_,41.14µm
_02848_,41.12µm
net157,41µm
_02274_,40.9µm
_02617_,40.9µm
_02419_,40.88µm
cpu_core.control_inst.opcode\[1\],40.87µm
_03328_,40.82µm
_04299_,40.8µm
_02266_,40.78µm
_04761_,40.74µm
_02792_,40.64µm
cpu_core.alu_result_mem\[13\],40.56µm
_02520_,40.48µm
_05129_,40.44µm
_04705_,40.4µm
cpu_core.regfile_inst.regs\[1\]\[6\],40.38µm
net19,40.37µm
net1096,40.32µm
_04303_,40.265µm
_05139_,39.94µm
_02379_,39.935µm
_02576_,39.9µm
_05332_,39.88µm
cpu_core.ex_stage_inst.imm_ex\[24\],39.88µm
_03963_,39.76µm
_04494_,39.76µm
_02549_,39.74µm
_02770_,39.74µm
_02118_,39.54µm
_02299_,39.54µm
clknet_leaf_49_clk,39.46µm
_02005_,39.37µm
_03965_,39.3µm
_03431_,39.16µm
_04768_,38.94µm
cpu_core.ex_stage_inst.imm_ex\[31\],38.94µm
_02279_,38.86µm
_04983_,38.84µm
_02587_,38.82µm
_03026_,38.82µm
_03373_,38.82µm
_02637_,38.72µm
_03928_,38.72µm
_03913_,38.7µm
_01838_,38.64µm
_02535_,38.6µm
_02091_,38.58µm
_03076_,38.56µm
cpu_core.alu_result_mem\[15\],38.5µm
_02370_,38.46µm
_02970_,38.4µm
_05036_,38.4µm
_02620_,38.38µm
_02447_,38.32µm
_03944_,38.32µm
_04514_,38.32µm
_04395_,38.3µm
_02351_,38.28µm
_04920_,38.24µm
net158,38.22µm
net400,38.18µm
_03772_,38.16µm
_05279_,38.16µm
cpu_core.if_id_reg_inst.pc_in\[14\],38.1µm
_02101_,37.92µm
_02595_,37.86µm
_04063_,37.84µm
_05354_,37.84µm
_03343_,37.82µm
_04508_,37.78µm
_05027_,37.76µm
_04461_,37.64µm
_02338_,37.56µm
_02331_,37.52µm
_04360_,37.4µm
_04509_,37.06µm
clknet_leaf_150_clk,37.06µm
_03364_,37.04µm
_03534_,37.02µm
_03696_,37.02µm
_04615_,37.02µm
_02415_,36.96µm
cpu_core.id_ex_reg_inst.rd_addr_in\[2\],36.9µm
_03126_,36.88µm
_02706_,36.72µm
_04844_,36.72µm
_02521_,36.7µm
_02561_,36.66µm
_03453_,36.64µm
clknet_leaf_130_clk,36.56µm
_03762_,36.52µm
_02644_,36.5µm
_02336_,36.48µm
_02584_,36.38µm
_02141_,36.32µm
clknet_leaf_112_clk,36.32µm
_03286_,36.26µm
_02041_,36.12µm
_03118_,36.1µm
_05014_,36.1µm
cpu_core.regfile_inst.regs\[14\]\[9\],36.1µm
_02671_,35.92µm
cpu_core.regfile_inst.regs\[21\]\[2\],35.9µm
_04664_,35.86µm
_04700_,35.86µm
_05337_,35.74µm
cpu_core.ex_stage_inst.rs1_data_ex\[10\],35.72µm
cpu_core.if_id_reg_inst.pc_in\[31\],35.695µm
_04775_,35.52µm
_02259_,35.5µm
cpu_core.forward_inst.id_ex_rs1\[3\],35.5µm
cpu_core.regfile_inst.regs\[22\]\[20\],35.49µm
cpu_core.regfile_inst.regs\[5\]\[31\],35.42µm
_02944_,35.4µm
_04317_,35.34µm
_02411_,35.28µm
_02831_,35.25µm
_03335_,35.25µm
_03791_,35.24µm
_02547_,35.16µm
_05174_,34.94µm
_04681_,34.92µm
_04926_,34.72µm
_05123_,34.64µm
cpu_core.ex_stage_inst.rs1_data_ex\[23\],34.5µm
_01848_,34.48µm
_04533_,34.38µm
cpu_core.regfile_inst.regs\[0\]\[31\],34.28µm
cpu_core.alu_result_wb\[8\],34.26µm
cpu_core.ex_stage_inst.rs2_data_ex\[24\],34.26µm
cpu_core.alu_result_mem\[2\],34.16µm
cpu_core.forward_inst.id_ex_rs1\[0\],34.16µm
_03783_,34.14µm
_02971_,34.12µm
_04188_,34.12µm
_02093_,34.1µm
cpu_core.regfile_inst.regs\[10\]\[8\],34.05µm
_03380_,34.04µm
_04919_,34.04µm
cpu_core.regfile_inst.regs\[12\]\[17\],34.04µm
_02638_,33.96µm
_02421_,33.92µm
_04905_,33.92µm
_02967_,33.905µm
cpu_core.alu_result_mem\[8\],33.86µm
_02771_,33.8µm
_04500_,33.8µm
cpu_core.regfile_inst.regs\[27\]\[17\],33.78µm
_05090_,33.76µm
_03835_,33.7µm
cpu_core.ex_stage_inst.rs2_data_ex\[3\],33.68µm
_03628_,33.6µm
_03503_,33.54µm
_02805_,33.52µm
_03455_,33.5µm
cpu_core.ex_stage_inst.rs2_data_ex\[5\],33.5µm
_02545_,33.46µm
_02722_,33.46µm
_03255_,33.44µm
net381,33.42µm
_02763_,33.4µm
_01860_,33.3µm
_02082_,33.3µm
cpu_core.ex_mem_reg_inst.pc_plus4_out\[24\],33.26µm
_02834_,33.24µm
_02879_,33.18µm
_03498_,33.18µm
_02008_,33.16µm
_03993_,33.155µm
_02395_,33.09µm
_02668_,33.06µm
cpu_core.regfile_inst.regs\[21\]\[1\],33.06µm
_03276_,33.02µm
_01919_,33µm
_05179_,33µm
_02207_,32.96µm
cpu_core.regfile_inst.regs\[2\]\[25\],32.94µm
_03609_,32.91µm
_03885_,32.88µm
_04798_,32.88µm
clknet_leaf_58_clk,32.86µm
_01874_,32.8µm
_02164_,32.78µm
net391,32.76µm
cpu_core.regfile_inst.regs\[2\]\[20\],32.73µm
_02758_,32.72µm
_02852_,32.7µm
_03019_,32.66µm
_03166_,32.56µm
_03756_,32.56µm
_03590_,32.54µm
_03420_,32.52µm
_04946_,32.48µm
_03836_,32.46µm
_04682_,32.46µm
_02627_,32.42µm
_05275_,32.4µm
_02437_,32.34µm
_02902_,32.3µm
_02982_,32.3µm
_04820_,32.3µm
cpu_core.regfile_inst.regs\[18\]\[26\],32.17µm
cpu_core.if_id_reg_inst.pc_in\[17\],32.14µm
_02510_,32.08µm
cpu_core.regfile_inst.regs\[10\]\[5\],32.07µm
cpu_core.if_id_reg_inst.pc_in\[21\],32.04µm
_04984_,32.02µm
_02065_,32.01µm
cpu_core.regfile_inst.regs\[13\]\[17\],32µm
_02303_,31.98µm
_05134_,31.94µm
_02736_,31.92µm
cpu_core.regfile_inst.regs\[20\]\[4\],31.92µm
_03375_,31.85µm
_04305_,31.84µm
_03971_,31.82µm
_02297_,31.8µm
_02446_,31.8µm
_02621_,31.76µm
_05328_,31.76µm
_02314_,31.74µm
_03759_,31.74µm
_02317_,31.72µm
_04274_,31.72µm
_02731_,31.68µm
_05330_,31.68µm
_04053_,31.66µm
cpu_core.regfile_inst.regs\[26\]\[31\],31.65µm
_02529_,31.64µm
_04319_,31.64µm
_03859_,31.58µm
_04260_,31.58µm
_04252_,31.5µm
_03040_,31.42µm
_02483_,31.38µm
cpu_core.regfile_inst.regs\[5\]\[21\],31.34µm
_02295_,31.29µm
_03426_,31.28µm
_03973_,31.24µm
net389,31.22µm
_03556_,31.2µm
_04075_,31.16µm
cpu_core.regfile_inst.regs\[27\]\[15\],31.16µm
cpu_core.regfile_inst.regs\[9\]\[10\],31.16µm
_03591_,31.14µm
_03570_,31.12µm
_03397_,31.06µm
_03750_,31.04µm
cpu_core.regfile_inst.regs\[25\]\[30\],31µm
cpu_core.alu_result_mem\[24\],30.98µm
_02974_,30.975µm
cpu_core.regfile_inst.regs\[19\]\[23\],30.94µm
cpu_core.regfile_inst.regs\[28\]\[31\],30.9µm
cpu_core.regfile_inst.regs\[29\]\[11\],30.84µm
cpu_core.regfile_inst.regs\[3\]\[0\],30.84µm
cpu_core.regfile_inst.regs\[8\]\[21\],30.8µm
_02602_,30.74µm
_05226_,30.74µm
cpu_core.if_id_reg_inst.pc_in\[1\],30.74µm
_02817_,30.71µm
_02953_,30.7µm
cpu_core.regfile_inst.regs\[0\]\[24\],30.7µm
_02154_,30.68µm
_02408_,30.67µm
_00013_,30.64µm
_04611_,30.64µm
cpu_core.regfile_inst.regs\[0\]\[20\],30.62µm
_03554_,30.6µm
cpu_core.regfile_inst.regs\[30\]\[13\],30.57µm
_04625_,30.56µm
_04202_,30.52µm
_02749_,30.51µm
_04000_,30.5µm
_02136_,30.46µm
_03376_,30.44µm
_04841_,30.44µm
net1399,30.44µm
_03143_,30.4µm
_04065_,30.34µm
cpu_core.regfile_inst.regs\[24\]\[23\],30.32µm
_03182_,30.28µm
_03727_,30.28µm
_02444_,30.24µm
cpu_core.regfile_inst.regs\[5\]\[24\],30.22µm
net383,30.22µm
_00172_,30.2µm
_05124_,30.18µm
cpu_core.alu_result_mem\[11\],30.18µm
_02125_,30.16µm
cpu_core.regfile_inst.regs\[24\]\[31\],30.16µm
_04355_,30.12µm
_04901_,30.12µm
_04387_,30.08µm
cpu_core.mem_wb_reg_inst.read_data_out\[3\],30.08µm
cpu_core.regfile_inst.regs\[0\]\[13\],30.08µm
_02688_,30.06µm
_02443_,30.04µm
cpu_core.regfile_inst.regs\[19\]\[16\],30.04µm
cpu_core.if_id_reg_inst.pc_in\[23\],29.88µm
cpu_core.alu_result_mem\[19\],29.86µm
cpu_core.regfile_inst.regs\[4\]\[31\],29.86µm
_03396_,29.82µm
_04173_,29.82µm
_04067_,29.78µm
cpu_core.regfile_inst.regs\[3\]\[17\],29.76µm
_04112_,29.74µm
cpu_core.regfile_inst.regs\[2\]\[19\],29.65µm
_04746_,29.62µm
cpu_core.regfile_inst.regs\[22\]\[6\],29.575µm
cpu_core.regfile_inst.regs\[10\]\[3\],29.51µm
_02267_,29.5µm
cpu_core.regfile_inst.regs\[9\]\[5\],29.48µm
cpu_core.regfile_inst.regs\[4\]\[29\],29.44µm
_02774_,29.39µm
_02704_,29.38µm
_04698_,29.38µm
_03340_,29.36µm
_04642_,29.32µm
cpu_core.regfile_inst.regs\[4\]\[14\],29.3µm
_02580_,29.24µm
cpu_core.ex_stage_inst.rs1_data_ex\[14\],29.24µm
_02538_,29.22µm
_03149_,29.2µm
cpu_core.forward_inst.id_ex_rs1\[4\],29.2µm
_02727_,29.18µm
cpu_core.regfile_inst.regs\[30\]\[21\],29.11µm
cpu_core.regfile_inst.regs\[28\]\[25\],29.1µm
cpu_core.ex_stage_inst.rs1_data_ex\[1\],29.06µm
_05193_,29.02µm
_02261_,29µm
_04975_,28.98µm
_00031_,28.96µm
_04831_,28.96µm
cpu_core.regfile_inst.regs\[26\]\[15\],28.905µm
_04117_,28.9µm
_05071_,28.9µm
cpu_core.regfile_inst.regs\[30\]\[11\],28.865µm
_03467_,28.86µm
cpu_core.regfile_inst.regs\[31\]\[13\],28.86µm
cpu_core.regfile_inst.regs\[8\]\[30\],28.85µm
cpu_core.regfile_inst.regs\[5\]\[12\],28.82µm
_04297_,28.8µm
_02850_,28.74µm
_03458_,28.72µm
_04921_,28.71µm
_04338_,28.68µm
cpu_core.regfile_inst.regs\[12\]\[16\],28.64µm
cpu_core.regfile_inst.regs\[1\]\[27\],28.62µm
cpu_core.regfile_inst.regs\[7\]\[17\],28.58µm
_03332_,28.56µm
_02866_,28.54µm
_02263_,28.44µm
_02304_,28.42µm
_02526_,28.4µm
cpu_core.alu_result_mem\[10\],28.4µm
cpu_core.ex_stage_inst.rs2_data_ex\[17\],28.36µm
_04295_,28.34µm
cpu_core.regfile_inst.regs\[24\]\[1\],28.32µm
cpu_core.ex_stage_inst.rs2_data_ex\[21\],28.28µm
cpu_core.regfile_inst.regs\[31\]\[22\],28.28µm
_04952_,28.26µm
_04914_,28.24µm
_02597_,28.22µm
cpu_core.regfile_inst.regs\[5\]\[6\],28.2µm
clknet_leaf_171_clk,28.16µm
cpu_core.regfile_inst.regs\[29\]\[31\],28.14µm
cpu_core.regfile_inst.regs\[29\]\[28\],28.1µm
cpu_core.regfile_inst.regs\[5\]\[25\],28.08µm
_02766_,28.06µm
_03208_,28.06µm
cpu_core.regfile_inst.regs\[6\]\[5\],28.05µm
_02497_,28.04µm
cpu_core.regfile_inst.regs\[12\]\[10\],28.04µm
_04544_,27.92µm
cpu_core.regfile_inst.regs\[19\]\[6\],27.86µm
_00038_,27.82µm
_04579_,27.82µm
_02020_,27.8µm
cpu_core.regfile_inst.regs\[30\]\[31\],27.795µm
cpu_core.regfile_inst.regs\[3\]\[28\],27.78µm
_01992_,27.76µm
_02649_,27.76µm
_02072_,27.74µm
cpu_core.control_inst.opcode\[2\],27.72µm
_00062_,27.7µm
cpu_core.if_id_reg_inst.pc_in\[19\],27.7µm
_03250_,27.68µm
_02865_,27.62µm
_03580_,27.6µm
cpu_core.regfile_inst.regs\[24\]\[12\],27.6µm
cpu_core.regfile_inst.regs\[24\]\[17\],27.6µm
_03200_,27.58µm
_03233_,27.56µm
_03416_,27.56µm
_02278_,27.54µm
_04551_,27.54µm
cpu_core.regfile_inst.regs\[4\]\[6\],27.54µm
_02067_,27.48µm
cpu_core.regfile_inst.regs\[28\]\[9\],27.46µm
_02442_,27.44µm
_02715_,27.44µm
_03052_,27.42µm
_04105_,27.42µm
_03369_,27.4µm
_04709_,27.38µm
cpu_core.regfile_inst.regs\[2\]\[13\],27.37µm
_02204_,27.36µm
_02406_,27.36µm
_03663_,27.36µm
cpu_core.regfile_inst.regs\[18\]\[5\],27.34µm
cpu_core.regfile_inst.regs\[30\]\[12\],27.29µm
cpu_core.regfile_inst.regs\[1\]\[31\],27.26µm
_02782_,27.2µm
_04061_,27.2µm
cpu_core.regfile_inst.regs\[31\]\[21\],27.2µm
_04324_,27.18µm
cpu_core.regfile_inst.regs\[23\]\[4\],27.16µm
_03125_,27.14µm
cpu_core.regfile_inst.regs\[8\]\[10\],27.14µm
_03199_,27.12µm
_02383_,27.1µm
_03864_,27.1µm
cpu_core.regfile_inst.regs\[26\]\[18\],27.08µm
_04217_,27.06µm
_04857_,27.06µm
cpu_core.regfile_inst.regs\[13\]\[27\],27.06µm
_04649_,27.02µm
_04655_,27µm
_03954_,26.98µm
_03533_,26.96µm
_01997_,26.94µm
_02315_,26.92µm
cpu_core.regfile_inst.regs\[18\]\[4\],26.91µm
cpu_core.regfile_inst.regs\[24\]\[3\],26.82µm
_03223_,26.8µm
cpu_core.regfile_inst.regs\[24\]\[14\],26.8µm
_02835_,26.78µm
cpu_core.regfile_inst.regs\[29\]\[27\],26.76µm
cpu_core.regfile_inst.regs\[18\]\[20\],26.735µm
cpu_core.regfile_inst.regs\[6\]\[14\],26.705µm
cpu_core.regfile_inst.regs\[5\]\[27\],26.7µm
cpu_core.regfile_inst.regs\[13\]\[18\],26.66µm
cpu_core.regfile_inst.regs\[28\]\[8\],26.66µm
cpu_core.regfile_inst.regs\[11\]\[26\],26.62µm
cpu_core.regfile_inst.regs\[5\]\[16\],26.6µm
cpu_core.regfile_inst.regs\[11\]\[20\],26.58µm
cpu_core.regfile_inst.regs\[4\]\[1\],26.58µm
_03889_,26.56µm
cpu_core.regfile_inst.regs\[15\]\[3\],26.56µm
_02750_,26.54µm
cpu_core.mem_wb_reg_inst.read_data_out\[5\],26.525µm
_02276_,26.5µm
cpu_core.regfile_inst.regs\[23\]\[29\],26.5µm
cpu_core.regfile_inst.regs\[0\]\[22\],26.48µm
cpu_core.regfile_inst.regs\[30\]\[7\],26.47µm
_02807_,26.46µm
cpu_core.control_inst.opcode\[0\],26.46µm
_04339_,26.44µm
cpu_core.regfile_inst.regs\[6\]\[20\],26.405µm
_02191_,26.38µm
_03124_,26.38µm
_04064_,26.36µm
cpu_core.dmem_funct3\[1\],26.36µm
_03504_,26.34µm
_00135_,26.3µm
_03935_,26.28µm
cpu_core.regfile_inst.regs\[26\]\[17\],26.275µm
cpu_core.regfile_inst.regs\[26\]\[0\],26.23µm
_00092_,26.22µm
_03665_,26.22µm
cpu_core.regfile_inst.regs\[3\]\[2\],26.22µm
cpu_core.regfile_inst.regs\[22\]\[31\],26.21µm
clknet_leaf_21_clk,26.2µm
cpu_core.regfile_inst.regs\[10\]\[28\],26.19µm
_02127_,26.18µm
_04348_,26.18µm
_04689_,26.16µm
cpu_core.regfile_inst.regs\[24\]\[29\],26.12µm
cpu_core.regfile_inst.regs\[26\]\[14\],26.11µm
_04282_,26.08µm
_02051_,26.06µm
_02605_,26.06µm
cpu_core.regfile_inst.regs\[5\]\[28\],26.06µm
cpu_core.regfile_inst.regs\[1\]\[13\],26µm
cpu_core.regfile_inst.regs\[1\]\[8\],25.98µm
_02462_,25.92µm
_04554_,25.92µm
cpu_core.regfile_inst.regs\[23\]\[1\],25.92µm
cpu_core.ex_stage_inst.rs1_data_ex\[26\],25.9µm
cpu_core.regfile_inst.regs\[8\]\[20\],25.86µm
_03444_,25.84µm
_04961_,25.84µm
cpu_core.regfile_inst.regs\[19\]\[22\],25.76µm
_05061_,25.72µm
cpu_core.regfile_inst.regs\[28\]\[18\],25.7µm
cpu_core.regfile_inst.regs\[4\]\[2\],25.7µm
cpu_core.regfile_inst.regs\[31\]\[12\],25.69µm
_03137_,25.68µm
cpu_core.regfile_inst.regs\[1\]\[21\],25.68µm
_03771_,25.66µm
cpu_core.regfile_inst.regs\[4\]\[27\],25.66µm
cpu_core.regfile_inst.regs\[2\]\[28\],25.65µm
_02319_,25.64µm
_02124_,25.63µm
cpu_core.regfile_inst.regs\[26\]\[28\],25.595µm
cpu_core.regfile_inst.regs\[13\]\[0\],25.56µm
cpu_core.regfile_inst.regs\[28\]\[28\],25.54µm
cpu_core.regfile_inst.regs\[8\]\[17\],25.54µm
cpu_core.regfile_inst.regs\[25\]\[5\],25.52µm
_04964_,25.48µm
_02639_,25.46µm
_00185_,25.44µm
cpu_core.regfile_inst.regs\[16\]\[22\],25.4µm
_03363_,25.38µm
_03748_,25.38µm
net374,25.38µm
cpu_core.regfile_inst.regs\[16\]\[16\],25.36µm
cpu_core.regfile_inst.regs\[14\]\[20\],25.315µm
cpu_core.regfile_inst.regs\[26\]\[12\],25.315µm
_04853_,25.3µm
cpu_core.regfile_inst.regs\[29\]\[19\],25.3µm
net1087,25.3µm
cpu_core.regfile_inst.regs\[18\]\[9\],25.29µm
cpu_core.regfile_inst.regs\[26\]\[23\],25.29µm
_03563_,25.28µm
_02090_,25.26µm
cpu_core.regfile_inst.regs\[4\]\[28\],25.26µm
_02720_,25.24µm
_03271_,25.2µm
_04723_,25.18µm
_02859_,25.16µm
_02055_,25.14µm
cpu_core.regfile_inst.regs\[20\]\[11\],25.14µm
