net,length_um
net150,297.3µm
net364,297.26µm
net334,294.835µm
net132,294.71µm
_03646_,294.26µm
cpu_core.ex_stage_inst.imm_ex\[1\],293.55µm
net80,293.49µm
cpu_core.ex_stage_inst.imm_ex\[27\],293.36µm
net1068,293.36µm
net1167,292.82µm
net86,291.95µm
_01903_,291.3µm
net38,291.29µm
net571,291.14µm
net81,290.89µm
net1196,290.78µm
net1034,289.98µm
net739,289.825µm
_02324_,289.73µm
net100,288.76µm
cpu_core.ex_stage_inst.imm_ex\[0\],288.68µm
cpu_core.ex_stage_inst.alu_control_inst.lui,288.32µm
net77,287.945µm
net993,287.7µm
net105,287.31µm
net129,286.06µm
net161,286µm
net152,285.92µm
net101,285.46µm
net749,285.18µm
net33,284.73µm
net991,284.34µm
net1005,284.05µm
_01985_,283.86µm
net1080,283.76µm
net1152,283.69µm
net983,283.12µm
net1029,282.82µm
net621,281.44µm
net97,281.4µm
cpu_core.alu_src_ex,281.3µm
net735,281.02µm
net1015,280.92µm
net226,280.55µm
_02286_,280.27µm
net218,280.16µm
net402,280.03µm
net87,279.92µm
net102,279.82µm
net289,279.17µm
net1030,279.16µm
net625,277.74µm
net1190,277.72µm
net290,277.39µm
cpu_core.ex_stage_inst.imm_ex\[26\],277.14µm
net1046,277.14µm
net1018,277.1µm
net153,276.19µm
net1082,275.86µm
net106,275.76µm
net1006,274.46µm
net1062,274.43µm
net82,273.79µm
_01998_,272.35µm
net103,272.3µm
net638,272.08µm
net992,271.77µm
_01901_,271.54µm
net747,271.38µm
dmem_din\[0\],270.9µm
net39,270.71µm
net1042,270.06µm
net213,269.12µm
net1076,268.68µm
net32,268.59µm
net1099,268.27µm
net630,268.02µm
net212,267.78µm
net160,267.76µm
net76,267.73µm
net682,267.48µm
_02252_,266.6µm
cpu_core.ex_stage_inst.imm_ex\[3\],266.54µm
_01834_,266.46µm
clknet_5_18__leaf_clk,266.38µm
cpu_core.funct3_id\[2\],266.08µm
clknet_5_19__leaf_clk,266.08µm
clknet_5_28__leaf_clk,266µm
net1011,265.79µm
net754,265.58µm
cpu_core.mem_wb_reg_inst.pc_plus4_out\[19\],265.42µm
net750,265.34µm
net1103,264.28µm
net1050,263.9µm
net781,262.86µm
net982,262.14µm
net133,261.87µm
net1014,261.8µm
_00132_,261.59µm
net154,261.48µm
net707,261.38µm
_02188_,260.8µm
cpu_core.funct3_id\[0\],260.32µm
net412,259.26µm
clknet_5_22__leaf_clk,258.8µm
net974,258.735µm
net1053,258.49µm
net1106,258.48µm
clknet_5_4__leaf_clk,258.22µm
_00149_,257.88µm
net1047,257.79µm
clknet_5_5__leaf_clk,257.7µm
net268,257.6µm
_03681_,257.56µm
net778,257.46µm
net1065,257.22µm
net156,256.98µm
net558,256.72µm
_04442_,256.68µm
net509,256.26µm
net1075,256.2µm
cpu_core.alu_result_mem\[20\],256.03µm
clknet_5_21__leaf_clk,255.985µm
net1113,255.74µm
net1020,255.66µm
net151,255.54µm
net795,255.08µm
_02358_,254.6µm
net994,254.335µm
net1037,254.26µm
net775,254.06µm
_03734_,254.02µm
cpu_core.auipc_ex,253.64µm
clknet_5_14__leaf_clk,253.46µm
net1048,253.16µm
net257,253.04µm
net1007,252.81µm
cpu_core.ex_stage_inst.imm_ex\[4\],252.78µm
net997,252.185µm
net1044,252.18µm
net408,252.12µm
cpu_core.mem_wb_reg_inst.read_data_out\[8\],251.76µm
cpu_core.dmem_funct3\[0\],251.755µm
net155,251.22µm
cpu_core.funct3_id\[1\],249.91µm
net870,249.56µm
_02039_,249.04µm
net1045,248.91µm
_03699_,248.8µm
net1121,248.8µm
net40,248.75µm
net1017,248.54µm
net555,248.42µm
net1031,248.22µm
net1054,248.22µm
net1051,248.18µm
net1025,247.8µm
net1077,247.7µm
net1010,247.44µm
net337,246.78µm
_02385_,246.195µm
net157,246.1µm
_02228_,246.02µm
net784,245.81µm
net159,245.42µm
net1141,245.4µm
net880,245.245µm
net835,245.04µm
net419,244.85µm
net158,244.76µm
clknet_5_20__leaf_clk,244.66µm
_02030_,244.62µm
net597,244.52µm
net1008,244.38µm
net769,244.24µm
net766,244.12µm
net832,244.12µm
net846,244.12µm
net864,244.12µm
net867,244.12µm
clknet_5_27__leaf_clk,243.8µm
net30,243.59µm
net788,243.44µm
net792,243.44µm
net803,243.44µm
net807,243.44µm
net811,243.44µm
net815,243.44µm
net826,243.44µm
net855,243.44µm
net819,243.24µm
net1112,243.2µm
net905,243.06µm
net931,242.85µm
net215,242.7µm
net1138,242.38µm
net772,242.04µm
net1159,241.93µm
net843,241.64µm
net823,241.4µm
net852,241.4µm
net858,241.4µm
net1102,241.26µm
net849,241.18µm
cpu_core.funct7_5_id,240.86µm
net799,240.72µm
net829,240.72µm
net839,240.72µm
net861,240.72µm
net186,240.6µm
net1133,240.14µm
net964,239.575µm
net267,239.24µm
net1041,239.04µm
net1096,238.64µm
net908,238.46µm
net898,238.31µm
net1078,238.3µm
net1128,238.24µm
net1136,237.695µm
net988,236.72µm
net1155,236.72µm
net883,235.385µm
net979,235.24µm
net865,234.82µm
net672,234.78µm
_02345_,234.56µm
net140,234.12µm
net889,233.665µm
net862,233.48µm
net185,232.85µm
net1021,232.58µm
net764,232.46µm
net836,232.32µm
net1035,232.28µm
net767,232.16µm
_04289_,231.98µm
net269,231.96µm
net833,231.94µm
net844,231.86µm
net29,231.75µm
net886,231.65µm
net779,231.48µm
net827,231.44µm
net830,231.16µm
net816,231.14µm
net773,231.02µm
net808,230.98µm
net776,230.94µm
net782,230.94µm
net1214,230.66µm
net853,230.62µm
net1083,230.56µm
net840,230.48µm
net719,230.455µm
net868,230.44µm
clknet_5_31__leaf_clk,230.42µm
net796,230.34µm
net850,230.14µm
cpu_core.branch_ex,230.11µm
net793,230.1µm
net856,230.1µm
net820,230.02µm
net917,229.98µm
net423,229.88µm
net10,229.79µm
net800,229.76µm
net896,229.76µm
net770,229.64µm
net859,229.52µm
net1087,229.5µm
net975,229.46µm
net824,229.4µm
_03786_,229.3µm
net804,229.3µm
net847,229.3µm
_00143_,229.2µm
_02008_,229.2µm
net789,228.88µm
net785,228.76µm
net1012,228.71µm
net230,228.36µm
_03961_,228.05µm
net812,227.96µm
net184,227.55µm
net715,226.835µm
net272,226.16µm
net902,226µm
net757,225.98µm
clknet_5_1__leaf_clk,225.9µm
net1081,225.86µm
cpu_core.hazard_inst.if_id_rs2\[3\],225.48µm
net1120,225.38µm
net1033,225.36µm
cpu_core.mem_wb_reg_inst.read_data_out\[9\],225.3µm
net1009,225.16µm
cpu_core.ex_stage_inst.imm_ex\[24\],224.74µm
net711,224.6µm
_03805_,224.59µm
net239,224.34µm
_04267_,223.78µm
net737,223.68µm
net914,223.62µm
net683,223.61µm
net961,223.02µm
net205,222.74µm
net1108,222.67µm
net989,222.6µm
_04167_,222.3µm
cpu_core.ex_mem_reg_inst.mem_to_reg_in,222.14µm
net751,221.7µm
net258,221.48µm
net998,221.4µm
net940,221.22µm
net1000,220.66µm
net783,220.63µm
net958,220.47µm
net794,220.08µm
_01994_,220.06µm
net1110,219.9µm
net1129,219.54µm
net1253,219.14µm
net333,218.725µm
net222,218.61µm
net291,218.48µm
net910,218.32µm
_02004_,218.28µm
net288,217.98µm
net573,217.96µm
net1164,217.92µm
net937,217.54µm
net871,217.04µm
_02907_,216.86µm
net1026,216.82µm
net934,216.71µm
net1100,216.34µm
net717,216.2µm
net542,216.13µm
net987,216.11µm
net1097,216.08µm
net1002,216.05µm
net952,216.04µm
net248,215.78µm
net928,215.71µm
net352,215.67µm
net842,215.46µm
net874,215.41µm
net1179,215.3µm
net545,215.22µm
net922,214.98µm
net414,214.84µm
net869,214.84µm
net727,213.96µm
_02582_,213.9µm
net822,213.88µm
net674,213.75µm
net949,213.7µm
net791,213.68µm
net285,213.46µm
net1024,213.44µm
net771,213.24µm
cpu_core.ex_stage_inst.imm_ex\[19\],213.18µm
net787,213µm
cpu_core.mem_wb_reg_inst.read_data_out\[5\],212.32µm
net136,212.28µm
net838,212.24µm
net798,212.22µm
net814,212.2µm
net943,211.97µm
cpu_core.ex_stage_inst.imm_ex\[18\],211.96µm
net407,211.92µm
net709,211.88µm
net1060,211.78µm
net774,211.62µm
net806,211.54µm
net834,211.38µm
net828,211.18µm
net802,211.08µm
net818,210.94µm
net845,210.94µm
net765,210.64µm
net1143,210.62µm
net860,210.54µm
net810,210.195µm
_03716_,210.08µm
net1089,209.5µm
net1137,209.405µm
net854,209.3µm
net28,209.25µm
net851,209.205µm
net1186,209.12µm
net848,209.06µm
_02020_,208.86µm
net857,208.74µm
net1154,208.74µm
net615,208.64µm
net863,208.64µm
net216,208.5µm
net926,208.3µm
net777,208.02µm
cpu_core.alu_result_mem\[19\],207.86µm
net713,207.52µm
net831,207.48µm
net768,207.44µm
_03663_,207.42µm
_02721_,207.08µm
net11,207.07µm
net353,207.06µm
net866,206.96µm
net911,206.96µm
cpu_core.alu_result_mem\[22\],206.86µm
cpu_core.ex_stage_inst.imm_ex\[5\],206.8µm
net180,205.7µm
net825,205.52µm
net223,205.42µm
net179,205.3µm
net228,204.84µm
net74,204.77µm
net929,204.7µm
net780,204.31µm
cpu_core.ex_stage_inst.imm_ex\[25\],204.28µm
net1124,204.02µm
net1158,203.81µm
net176,202.21µm
_03595_,201.98µm
net809,201.98µm
net135,201.84µm
net797,201.78µm
net1235,201.72µm
_03565_,201.115µm
net1131,201µm
_02372_,200.66µm
cpu_core.id_ex_reg_inst.alu_op_out\[3\],200.48µm
clknet_5_12__leaf_clk,200.34µm
dmem_din\[6\],199.61µm
_03629_,199.3µm
cpu_core.alu_result_mem\[18\],199.16µm
cpu_core.alu_result_mem\[26\],199.115µm
cpu_core.alu_result_mem\[21\],198.7µm
cpu_core.ex_stage_inst.imm_ex\[6\],198.44µm
net1052,198.185µm
cpu_core.alu_result_mem\[23\],197.96µm
net342,197.8µm
clknet_5_29__leaf_clk,197.48µm
net944,197.38µm
net1142,197.1µm
net177,196.89µm
net895,196.73µm
cpu_core.dmem_re,196.565µm
clknet_5_15__leaf_clk,196.24µm
net1117,196.08µm
_02058_,196.04µm
_02254_,195.94µm
net1105,195.9µm
net118,195.83µm
net1182,195.25µm
_02656_,194.98µm
net203,194.85µm
net1116,194.635µm
net790,194.26µm
net1139,194.255µm
clknet_5_2__leaf_clk,194.1µm
cpu_core.mem_wb_reg_inst.pc_plus4_out\[27\],194.08µm
net322,193.76µm
net198,193.72µm
_02033_,193.66µm
clknet_5_30__leaf_clk,193.14µm
net760,192.08µm
net1204,191.84µm
net178,191.46µm
clknet_5_25__leaf_clk,191.46µm
_00147_,191.42µm
_03612_,190.76µm
clknet_5_9__leaf_clk,190.76µm
net786,190.6µm
net955,190.22µm
net925,190.08µm
net294,189.68µm
_03060_,189.6µm
net211,189.5µm
net173,189.25µm
net200,188.89µm
net1157,188.88µm
_02298_,188.84µm
net107,188.74µm
_00082_,188.62µm
net332,188.47µm
net1153,188.375µm
net224,187.92µm
net901,187.92µm
cpu_core.hazard_inst.if_id_rs2\[4\],187.52µm
net1132,187.36µm
net12,187.19µm
net907,187.08µm
net913,186.82µm
net27,186.81µm
_00148_,186.24µm
_02313_,185.96µm
net999,185.43µm
net1203,185.26µm
_02230_,185.14µm
_04421_,185.01µm
net1003,184.42µm
net174,184.01µm
net580,183.96µm
cpu_core.mem_wb_reg_inst.pc_plus4_out\[15\],183.94µm
cpu_core.alu_result_mem\[28\],183.87µm
net175,183.77µm
net340,183.74µm
_02382_,183.02µm
net225,182.8µm
_02344_,182.58µm
net411,182.22µm
net904,182.22µm
funct3_r\[0\],182.12µm
net422,182.12µm
net256,181.8µm
net293,181.415µm
_01888_,181.38µm
net755,181.36µm
net956,181.26µm
cpu_core.ex_stage_inst.imm_ex\[29\],180.76µm
_04108_,180.14µm
net574,179.94µm
net1107,179.7µm
net1229,179.32µm
_01838_,179.26µm
net199,179.19µm
cpu_core.alu_result_mem\[29\],179.12µm
net1126,178.9µm
net916,178.46µm
net418,178.405µm
net538,178.13µm
net817,178.1µm
_02308_,178.09µm
net1192,177.88µm
_01960_,177.84µm
_04186_,177.32µm
cpu_core.alu_result_mem\[24\],177.12µm
net134,176.96µm
_02657_,176.91µm
net642,176.82µm
cpu_core.mem_wb_reg_inst.read_data_out\[6\],176.78µm
_02384_,176.77µm
_02264_,176.53µm
net1135,176.38µm
net323,176.2µm
net1122,176.06µm
net505,176µm
cpu_core.ex_stage_inst.imm_ex\[23\],175.88µm
net801,175.68µm
net410,175.5µm
net996,175.46µm
_02638_,175.36µm
net813,175.36µm
net202,175.21µm
net330,175.185µm
net646,175.02µm
_01835_,174.96µm
net575,174.36µm
net584,174.08µm
net336,173.98µm
clknet_5_13__leaf_clk,173.74µm
net731,173.58µm
net341,173.57µm
cpu_core.alu_result_mem\[25\],173.22µm
net355,173.06µm
net1036,172.66µm
cpu_core.ex_mem_reg_inst.jump_in,172.46µm
cpu_core.alu_result_mem\[15\],172.22µm
net280,171.84µm
_02207_,171.7µm
net665,171.4µm
net959,170.72µm
net1074,170.6µm
net578,170.44µm
net507,170.34µm
net1217,169.9µm
net962,169.55µm
net728,169.24µm
cpu_core.ex_stage_inst.rs1_data_ex\[13\],169.22µm
net350,168.96µm
net277,168.32µm
cpu_core.alu_result_mem\[30\],168.28µm
net1193,167.54µm
_00057_,167.36µm
net1172,167.36µm
net1123,167.22µm
_03561_,166.98µm
net950,166.72µm
net1185,166.4µm
net655,166.38µm
net923,166.08µm
net13,165.95µm
_02357_,165.82µm
net234,165.66µm
_02717_,165.57µm
net405,165.505µm
net1230,165.24µm
net563,165.16µm
_02342_,164.74µm
net1156,164.38µm
net1055,164.04µm
net872,163.98µm
_03131_,163.77µm
cpu_core.ex_stage_inst.rs1_data_ex\[1\],163.68µm
net1221,163.08µm
net26,162.89µm
net321,162.73µm
net607,162.7µm
net254,162.52µm
net953,162.3µm
_03558_,162.28µm
_02042_,162.2µm
net543,162.12µm
net559,161.84µm
net875,161.72µm
cpu_core.if_id_reg_inst.instr_out\[27\],161.06µm
net556,160.92µm
net286,160.86µm
net301,160.71µm
net339,160.44µm
_02371_,159.62µm
net354,159.16µm
net1039,158.86µm
_00000_,158.56µm
net508,158.52µm
net805,158.2µm
net1134,158.18µm
cpu_core.if_id_reg_inst.instr_out\[25\],158.16µm
cpu_core.mem_wb_reg_inst.pc_plus4_out\[26\],158.16µm
_02744_,158.12µm
net310,158.12µm
net539,158.04µm
net1201,158.02µm
net540,157.99µm
net270,157.92µm
cpu_core.alu_result_mem\[27\],157.36µm
net562,157.08µm
cpu_core.ex_stage_inst.imm_ex\[28\],156.94µm
net526,156.93µm
net965,156.56µm
_03769_,156.34µm
