Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_285_1071,VGND,li1,498.4100,788.8000,0.000004
FILLER_285_1065,VGND,li1,496.8000,788.8000,0.000004
FILLER_285_1061,VGND,li1,494.2700,788.8000,0.000004
FILLER_285_1055,VGND,li1,491.5100,788.8000,0.000004
FILLER_285_1047,VGND,li1,488.9800,788.8000,0.000003
FILLER_285_1043,VGND,li1,485.5300,788.8000,0.000003
FILLER_285_1037,VGND,li1,483.9200,788.8000,0.000003
FILLER_285_1033,VGND,li1,481.3900,788.8000,0.000003
FILLER_285_1027,VGND,li1,478.6300,788.8000,0.000004
FILLER_285_1019,VGND,li1,476.1000,788.8000,0.000004
FILLER_285_1015,VGND,li1,472.6500,788.8000,0.000005
FILLER_285_1009,VGND,li1,471.0400,788.8000,0.000005
FILLER_285_1005,VGND,li1,468.5100,788.8000,0.000005
FILLER_285_999,VGND,li1,465.7500,788.8000,0.000005
FILLER_285_991,VGND,li1,463.2200,788.8000,0.000006
FILLER_285_987,VGND,li1,459.7700,788.8000,0.000006
FILLER_285_981,VGND,li1,458.1600,788.8000,0.000007
FILLER_285_978,VGND,li1,455.8600,788.8000,0.000007
FILLER_285_973,VGND,li1,453.5600,788.8000,0.000007
FILLER_285_964,VGND,li1,450.3400,788.8000,0.000007
FILLER_285_959,VGND,li1,447.1200,788.8000,0.000008
FILLER_285_953,VGND,li1,444.5900,788.8000,0.000008
FILLER_285_948,VGND,li1,442.5200,788.8000,0.000009
FILLER_285_943,VGND,li1,439.7600,788.8000,0.000009
FILLER_285_939,VGND,li1,437.6900,788.8000,0.000009
FILLER_285_935,VGND,li1,436.5400,788.8000,0.000009
FILLER_285_925,VGND,li1,431.2500,788.8000,0.000009
FILLER_285_923,VGND,li1,430.3300,788.8000,0.000009
FILLER_285_918,VGND,li1,428.2600,788.8000,0.000009
FILLER_285_907,VGND,li1,424.5800,788.8000,0.000009
FILLER_285_903,VGND,li1,421.1300,788.8000,0.000008
FILLER_285_897,VGND,li1,419.5200,788.8000,0.000008
FILLER_285_893,VGND,li1,416.9900,788.8000,0.000008
FILLER_285_887,VGND,li1,414.2300,788.8000,0.000008
FILLER_285_879,VGND,li1,411.7000,788.8000,0.000008
FILLER_285_875,VGND,li1,408.2500,788.8000,0.000007
FILLER_285_869,VGND,li1,406.6400,788.8000,0.000007
FILLER_285_865,VGND,li1,404.1100,788.8000,0.000007
FILLER_285_860,VGND,li1,401.5800,788.8000,0.000007
FILLER_285_851,VGND,li1,398.3600,788.8000,0.000007
FILLER_285_847,VGND,li1,395.3700,788.8000,0.000006
FILLER_285_841,VGND,li1,393.7600,788.8000,0.000006
FILLER_285_837,VGND,li1,391.2300,788.8000,0.000006
FILLER_285_831,VGND,li1,388.4700,788.8000,0.000006
FILLER_285_823,VGND,li1,385.9400,788.8000,0.000005
FILLER_285_819,VGND,li1,382.4900,788.8000,0.000005
FILLER_285_813,VGND,li1,380.8800,788.8000,0.000005
FILLER_285_809,VGND,li1,378.3500,788.8000,0.000005
FILLER_285_803,VGND,li1,375.5900,788.8000,0.000005
FILLER_285_795,VGND,li1,373.0600,788.8000,0.000004
FILLER_285_791,VGND,li1,369.6100,788.8000,0.000004
FILLER_285_785,VGND,li1,368.0000,788.8000,0.000004
FILLER_285_781,VGND,li1,365.4700,788.8000,0.000004
FILLER_285_777,VGND,li1,363.1700,788.8000,0.000004
FILLER_285_773,VGND,li1,362.0200,788.8000,0.000003
FILLER_285_767,VGND,li1,359.0300,788.8000,0.000003
FILLER_285_763,VGND,li1,356.7300,788.8000,0.000003
FILLER_285_757,VGND,li1,355.1200,788.8000,0.000003
FILLER_285_753,VGND,li1,352.5900,788.8000,0.000003
FILLER_285_747,VGND,li1,349.8300,788.8000,0.000002
FILLER_285_742,VGND,li1,347.3000,788.8000,0.000002
FILLER_285_737,VGND,li1,344.7700,788.8000,0.000002
FILLER_285_729,VGND,li1,342.7000,788.8000,0.000002
FILLER_285_725,VGND,li1,339.7100,788.8000,0.000001
FILLER_285_718,VGND,li1,336.7200,788.8000,0.000001
FILLER_285_714,VGND,li1,334.1900,788.8000,0.000001
FILLER_285_710,VGND,li1,333.0400,788.8000,0.000001
FILLER_285_706,VGND,li1,330.7400,788.8000,0.000001
FILLER_285_701,VGND,li1,328.2100,788.8000,0.000001
FILLER_285_699,VGND,li1,327.2900,788.8000,0.000001
FILLER_285_694,VGND,li1,325.2200,788.8000,0.000001
FILLER_285_683,VGND,li1,321.5400,788.8000,0.000001
FILLER_285_679,VGND,li1,318.0900,788.8000,0.000001
FILLER_285_673,VGND,li1,316.4800,788.8000,0.000001
FILLER_285_669,VGND,li1,313.9500,788.8000,0.000001
FILLER_285_663,VGND,li1,311.1900,788.8000,0.000001
FILLER_285_655,VGND,li1,308.6600,788.8000,0.000001
FILLER_285_651,VGND,li1,305.2100,788.8000,0.000001
FILLER_285_645,VGND,li1,303.6000,788.8000,0.000001
FILLER_285_641,VGND,li1,301.0700,788.8000,0.000001
FILLER_285_635,VGND,li1,298.3100,788.8000,0.000001
FILLER_285_627,VGND,li1,295.7800,788.8000,0.000001
FILLER_285_623,VGND,li1,292.3300,788.8000,0.000001
FILLER_285_617,VGND,li1,290.7200,788.8000,0.000001
FILLER_285_613,VGND,li1,288.1900,788.8000,0.000001
FILLER_285_607,VGND,li1,285.4300,788.8000,0.000001
FILLER_285_599,VGND,li1,282.9000,788.8000,0.000001
FILLER_285_595,VGND,li1,279.4500,788.8000,0.000001
FILLER_285_589,VGND,li1,277.8400,788.8000,0.000001
FILLER_285_585,VGND,li1,275.3100,788.8000,0.000001
FILLER_285_579,VGND,li1,272.5500,788.8000,0.000001
FILLER_285_571,VGND,li1,270.0200,788.8000,0.000001
FILLER_285_567,VGND,li1,266.5700,788.8000,0.000000
FILLER_285_561,VGND,li1,264.9600,788.8000,0.000000
FILLER_285_557,VGND,li1,262.4300,788.8000,0.000000
FILLER_285_551,VGND,li1,259.6700,788.8000,0.000000
FILLER_285_543,VGND,li1,257.1400,788.8000,0.000000
FILLER_285_539,VGND,li1,253.6900,788.8000,0.000000
FILLER_285_533,VGND,li1,252.0800,788.8000,0.000000
FILLER_285_529,VGND,li1,249.5500,788.8000,0.000000
FILLER_285_523,VGND,li1,246.7900,788.8000,0.000000
FILLER_285_515,VGND,li1,244.2600,788.8000,0.000000
FILLER_285_511,VGND,li1,240.8100,788.8000,0.000000
FILLER_285_505,VGND,li1,239.2000,788.8000,0.000000
FILLER_285_501,VGND,li1,236.6700,788.8000,0.000000
FILLER_285_495,VGND,li1,233.9100,788.8000,0.000000
FILLER_285_487,VGND,li1,231.3800,788.8000,0.000000
FILLER_285_483,VGND,li1,227.9300,788.8000,0.000000
FILLER_285_477,VGND,li1,226.3200,788.8000,0.000000
FILLER_285_473,VGND,li1,223.7900,788.8000,0.000000
FILLER_285_468,VGND,li1,221.2600,788.8000,0.000000
FILLER_285_465,VGND,li1,219.6500,788.8000,0.000000
FILLER_285_459,VGND,li1,218.0400,788.8000,0.000000
FILLER_285_455,VGND,li1,215.0500,788.8000,0.000000
FILLER_285_449,VGND,li1,213.4400,788.8000,0.000000
FILLER_285_445,VGND,li1,210.9100,788.8000,0.000000
FILLER_285_439,VGND,li1,208.1500,788.8000,0.000000
FILLER_285_431,VGND,li1,205.6200,788.8000,0.000000
FILLER_285_427,VGND,li1,202.1700,788.8000,0.000000
FILLER_285_421,VGND,li1,200.5600,788.8000,0.000000
FILLER_285_417,VGND,li1,198.0300,788.8000,0.000000
FILLER_285_411,VGND,li1,195.2700,788.8000,0.000000
FILLER_285_403,VGND,li1,192.7400,788.8000,0.000000
FILLER_285_399,VGND,li1,189.2900,788.8000,0.000000
