Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_285_1388,VPWR,li1,644.4600,786.0800,1.799960
FILLER_285_1383,VPWR,li1,642.1600,786.0800,1.799962
FILLER_285_1377,VPWR,li1,639.6300,786.0800,1.799965
FILLER_285_1373,VPWR,li1,637.3300,786.0800,1.799967
FILLER_285_1368,VPWR,li1,635.7200,786.0800,1.799969
FILLER_285_1363,VPWR,li1,632.9600,786.0800,1.799964
FILLER_285_1354,VPWR,li1,628.8200,786.0800,1.799957
FILLER_285_1345,VPWR,li1,625.6000,786.0800,1.799955
FILLER_285_1341,VPWR,li1,623.0700,786.0800,1.799953
FILLER_285_1335,VPWR,li1,620.3100,786.0800,1.799952
FILLER_285_1327,VPWR,li1,617.7800,786.0800,1.799950
FILLER_285_1323,VPWR,li1,614.3300,786.0800,1.799949
FILLER_285_1317,VPWR,li1,612.7200,786.0800,1.799948
FILLER_285_1313,VPWR,li1,610.1900,786.0800,1.799947
FILLER_285_1309,VPWR,li1,607.8900,786.0800,1.799946
FILLER_285_1305,VPWR,li1,606.7400,786.0800,1.799944
FILLER_285_1300,VPWR,li1,603.9800,786.0800,1.799943
FILLER_285_1289,VPWR,li1,600.3000,786.0800,1.799942
FILLER_285_1285,VPWR,li1,597.3100,786.0800,1.799940
FILLER_285_1276,VPWR,li1,593.8600,786.0800,1.799939
FILLER_285_1271,VPWR,li1,590.6400,786.0800,1.799937
FILLER_285_1267,VPWR,li1,588.5700,786.0800,1.799937
FILLER_285_1261,VPWR,li1,586.9600,786.0800,1.799936
FILLER_285_1257,VPWR,li1,584.4300,786.0800,1.799936
FILLER_285_1252,VPWR,li1,581.9000,786.0800,1.799935
FILLER_285_1247,VPWR,li1,579.8300,786.0800,1.799935
FILLER_285_1242,VPWR,li1,577.3000,786.0800,1.799935
FILLER_285_1238,VPWR,li1,575.4600,786.0800,1.799934
FILLER_285_1233,VPWR,li1,573.1600,786.0800,1.799934
FILLER_285_1229,VPWR,li1,571.5500,786.0800,1.799934
FILLER_285_1223,VPWR,li1,568.7900,786.0800,1.799933
FILLER_285_1215,VPWR,li1,566.2600,786.0800,1.799932
FILLER_285_1211,VPWR,li1,562.8100,786.0800,1.799933
FILLER_285_1205,VPWR,li1,561.2000,786.0800,1.799933
FILLER_285_1201,VPWR,li1,558.6700,786.0800,1.799933
FILLER_285_1196,VPWR,li1,556.1400,786.0800,1.799933
FILLER_285_1193,VPWR,li1,554.5300,786.0800,1.799933
FILLER_285_1187,VPWR,li1,552.9200,786.0800,1.799934
FILLER_285_1183,VPWR,li1,549.9300,786.0800,1.799934
FILLER_285_1177,VPWR,li1,548.3200,786.0800,1.799934
FILLER_285_1173,VPWR,li1,545.7900,786.0800,1.799934
FILLER_285_1168,VPWR,li1,543.2600,786.0800,1.799935
FILLER_285_1159,VPWR,li1,540.0400,786.0800,1.799935
FILLER_285_1149,VPWR,li1,534.2900,786.0800,1.799938
FILLER_285_1147,VPWR,li1,533.3700,786.0800,1.799938
FILLER_285_1142,VPWR,li1,531.3000,786.0800,1.799940
FILLER_285_1137,VPWR,li1,529.0000,786.0800,1.799941
FILLER_285_1131,VPWR,li1,526.4700,786.0800,1.799942
FILLER_285_1127,VPWR,li1,524.1700,786.0800,1.799944
FILLER_285_1121,VPWR,li1,522.5600,786.0800,1.799946
FILLER_285_1117,VPWR,li1,520.0300,786.0800,1.799947
FILLER_285_1111,VPWR,li1,517.2700,786.0800,1.799948
FILLER_285_1103,VPWR,li1,514.7400,786.0800,1.799950
FILLER_285_1099,VPWR,li1,511.2900,786.0800,1.799953
FILLER_285_1093,VPWR,li1,509.6800,786.0800,1.799953
FILLER_285_1089,VPWR,li1,507.1500,786.0800,1.799955
FILLER_285_1084,VPWR,li1,504.6200,786.0800,1.799957
FILLER_285_1079,VPWR,li1,502.0900,786.0800,1.799958
FILLER_285_1075,VPWR,li1,500.9400,786.0800,1.799958
FILLER_285_1071,VPWR,li1,498.4100,786.0800,1.799960
FILLER_285_1065,VPWR,li1,496.8000,786.0800,1.799961
FILLER_285_1061,VPWR,li1,494.2700,786.0800,1.799962
FILLER_285_1055,VPWR,li1,491.5100,786.0800,1.799964
FILLER_285_1047,VPWR,li1,488.9800,786.0800,1.799965
FILLER_285_1043,VPWR,li1,485.5300,786.0800,1.799968
FILLER_285_1037,VPWR,li1,483.9200,786.0800,1.799969
FILLER_285_1033,VPWR,li1,481.3900,786.0800,1.799964
FILLER_285_1027,VPWR,li1,478.6300,786.0800,1.799959
FILLER_285_1019,VPWR,li1,476.1000,786.0800,1.799954
FILLER_285_1015,VPWR,li1,472.6500,786.0800,1.799942
FILLER_285_1009,VPWR,li1,471.0400,786.0800,1.799942
FILLER_285_1005,VPWR,li1,468.5100,786.0800,1.799931
FILLER_285_999,VPWR,li1,465.7500,786.0800,1.799925
FILLER_285_991,VPWR,li1,463.2200,786.0800,1.799918
FILLER_285_987,VPWR,li1,459.7700,786.0800,1.799913
FILLER_285_981,VPWR,li1,458.1600,786.0800,1.799906
FILLER_285_978,VPWR,li1,455.8600,786.0800,1.799902
FILLER_285_973,VPWR,li1,453.5600,786.0800,1.799895
FILLER_285_964,VPWR,li1,450.3400,786.0800,1.799891
FILLER_285_959,VPWR,li1,447.1200,786.0800,1.799880
FILLER_285_953,VPWR,li1,444.5900,786.0800,1.799874
FILLER_285_948,VPWR,li1,442.5200,786.0800,1.799868
FILLER_285_943,VPWR,li1,439.7600,786.0800,1.799863
FILLER_285_939,VPWR,li1,437.6900,786.0800,1.799859
FILLER_285_935,VPWR,li1,436.5400,786.0800,1.799859
FILLER_285_925,VPWR,li1,431.2500,786.0800,1.799851
FILLER_285_923,VPWR,li1,430.3300,786.0800,1.799850
FILLER_285_918,VPWR,li1,428.2600,786.0800,1.799848
FILLER_285_907,VPWR,li1,424.5800,786.0800,1.799846
FILLER_285_903,VPWR,li1,421.1300,786.0800,1.799845
FILLER_285_897,VPWR,li1,419.5200,786.0800,1.799845
FILLER_285_893,VPWR,li1,416.9900,786.0800,1.799844
FILLER_285_887,VPWR,li1,414.2300,786.0800,1.799843
FILLER_285_879,VPWR,li1,411.7000,786.0800,1.799842
FILLER_285_875,VPWR,li1,408.2500,786.0800,1.799842
FILLER_285_869,VPWR,li1,406.6400,786.0800,1.799842
FILLER_285_865,VPWR,li1,404.1100,786.0800,1.799842
FILLER_285_860,VPWR,li1,401.5800,786.0800,1.799841
FILLER_285_851,VPWR,li1,398.3600,786.0800,1.799841
FILLER_285_847,VPWR,li1,395.3700,786.0800,1.799842
FILLER_285_841,VPWR,li1,393.7600,786.0800,1.799842
FILLER_285_837,VPWR,li1,391.2300,786.0800,1.799845
